"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Library","HTCViveController",2.288729,0.3,8.862165,"P38"
"Library","RugbyBall",-1.60558,0.3,4.077572,"P38"
"Library","Teacup",-4.154791,0.3,15.41258,"P38"
"Library","Padella",-3.96959,0.3,9.583815,"P38"
"Library","PiggyBank",-6.692504,0.3,4.735834,"P38"
"Library","Calculator",6.673287,0.3,13.57502,"P38"
"LivingRoom","MokeExpress",7.262164,0.3,5.963658,"P38"
"LivingRoom","Headphones",-3.094128,0.3,11.93329,"P38"
"LivingRoom","MilkCarton",7.626822,0.3,14.47545,"P38"
"LivingRoom","Controller",-6.518585,0.3,2.824193,"P38"
"LivingRoom","Paprika",-2.375992,0.3,15.19296,"P38"
"LivingRoom","Stapler",5.030006,0.3,8.76849,"P38"
"StorageRoom","HandDrill",5.690587,0.3,15.20527,"P38"
"StorageRoom","PencilSharpener",-4.197453,0.3,11.01384,"P38"
"StorageRoom","EggBeater",-7.344986,0.3,2.462856,"P38"
"StorageRoom","Muffin",-2.996193,0.3,16.169,"P38"
"StorageRoom","Mouse",7.237925,0.3,12.09126,"P38"
"StorageRoom","Spoons",5.571915,0.3,6.617199,"P38"
"Bedroom","HTCVive",-6.773884,2,7.72718,"P39"
"Bedroom","Basket",-6.566548,0.3,16.15047,"P39"
"Bedroom","Matrioshka",5.986433,0.3,9.882839,"P39"
"Bedroom","CokeCan",-1.306218,0.3,9.773435,"P39"
"Bedroom","DeskLight",3.142476,0.3,13.3557,"P39"
"Bedroom","BallonDog",3.916339,0.3,0.7599316,"P39"
"Classroom","Pumpkin",-3.287283,0.3,15.22626,"P39"
"Classroom","Canister",5.399284,0.3,14.39262,"P39"
"Classroom","CinRoll",7.349651,0.3,9.918617,"P39"
"Classroom","Hammer",-7.314213,0.3,7.43528,"P39"
"Classroom","Official hat",-5.085196,0.3,4.366612,"P39"
"Classroom","UGGboot",-2.176286,0.3,10.37352,"P39"
"Gym","MosquitoRacket",-6.66833,0.3,2.876337,"P39"
"Gym","Router",-6.598536,0.3,10.51063,"P39"
"Gym","FirstAidKit",0.7844865,0.3,2.418761,"P39"
"Gym","Pinza",6.209151,0.3,11.37253,"P39"
"Gym","Bread",0.4339855,0.3,10.4251,"P39"
"Gym","OldRadio",7.361473,0.3,6.517364,"P39"
"Library","Jug",-7.758669,0.3,14.58909,"P39"
"Library","Glasses",2.71135,0.3,10.15724,"P39"
"Library","Clamps",7.028878,0.3,10.15263,"P39"
"Library","PaperCoffeeCup",-6.278783,1.3,1.402924,"P39"
"Library","CoffeeMachine",1.3304,0.3,13.59455,"P39"
